readname	strand	cluster
6f2b78aa-80aa-46fb-9806-e186152bca8a	1	0
01f3d8f5-a415-4133-9c03-4365594e0396	-1	1
b70b5d4b-c27b-4b2d-ba3f-df32f02acf5a	-1	1
a7b5d746-ea64-4a3e-9362-402a693da094	-1	1
38cdcf9f-e028-476e-8266-82b50318ca1c	1	1
a04c3297-3021-42d9-8423-6061349d6c17	-1	1
dc2277bc-47bb-4680-9c70-b16d0331137a	-1	0
96398b2f-0ce7-4af9-b74a-1b2777808fa2	-1	0
51d409dc-9a5e-49f3-a079-1e514a4102cf	-1	0
0ca386c4-e934-4ef5-88e6-b32cb7285dd3	1	0
4e118355-2404-42b2-8c0b-044738b06bf4	1	1
2fdce6d9-75bf-42a6-a670-70c32d88c687	-1	1
4d838f52-7b04-4420-96ea-94cefe1b8ad2	-1	1
d1e0868e-1629-48f4-93f5-795c67f17b86	1	1
a49bae44-370c-42bf-ae57-5eb2cda6e583	1	0
d8bbe1a5-d8fc-45db-9add-e12cdc66b937	-1	0
b5fa9103-4085-4ca8-8df8-d7ff6b52076c	1	1
85de15ef-88a7-407d-a08e-b6f36740238c	-1	1
b1fc0fa2-1d63-456a-a9ce-d8d3578367de	1	0
40f96a68-9280-46e7-a865-cc622357693f	-1	0
295716f9-89bc-41e9-a45e-1d9f864b49a7	1	1
e20e7734-823e-4a76-a116-2722fe938b80	1	1
7e5780b1-4604-45b3-9a49-8de128dbf0ba	-1	1
8d118b90-193e-48f7-8336-cb25141bcf27	-1	1
bd403bef-4ae5-42c4-9d7b-caeb69449444	-1	1
72db8105-403d-4cd1-ae42-78dbc75c464e	1	0
31c164f7-2290-4cf6-a346-182802e9c654	1	1
5aa29cd2-1bef-4884-bbdf-1a14246966b7	1	1
d41567d7-4aaa-494a-8ccf-4a726b933cc0	-1	1
b3cce925-7f0f-4afa-a6b5-085862f8cf0b	-1	1
0d8ae5d4-d927-45d6-8438-38417a584cce	-1	1
77e99793-ca9f-4206-bfd7-6ad867b2660e	1	1
e5d63262-fe62-499b-9ffb-2245b09f9eaa	-1	0
0709b357-68ff-4fc8-9f64-4afbff08d09b	1	0
3dfc3765-2beb-4bbd-a484-9edb82860a41	-1	1
1b837945-b51f-4570-ba7a-ab5d87e11c37	1	1
