readname	strand	cluster
2689a6ec-ecd8-4f47-9897-17dd57f5387b	-1	0
e2f564e2-6b3f-4631-8149-e9f95e667eff	1	0
ffc4f78e-fdd2-4bc8-bc30-48342ce1d708	1	0
bc8dbda0-f43f-4210-8cc1-5942ffcc0515	-1	0
2a0e51b0-f524-4e33-aa56-73b3090c4617	-1	1
69d2bdba-3714-46f1-9b88-913df7a35b2f	1	1
ec2f9d94-43ec-4786-a56c-20de5923a780	-1	1
6ec26240-6a08-4a1e-b731-ef0055de0d33	1	0
bef4511d-659f-45fa-b3d7-185322bcc688	1	1
6eb2c97d-4480-441b-b03e-2117cd98ef11	1	1
a34f1596-c2b7-4479-8f12-b95b87be4c08	-1	0
4db4a5ee-6d80-4985-ba99-f737be2a3dfb	1	1
0ec199f2-ba3a-4d80-9a2d-a9492b68335c	1	1
df588607-6551-4fb6-a54c-057f8493d311	1	1
0ddb6d33-a436-4b14-bfe4-c3568e95a157	-1	1
4cc5ea3f-5e8a-43bd-9e9a-3f66bf2733ac	1	0
462e492e-72dd-41cb-b44a-a7d54cc4f582	-1	1
4a733df8-b42c-4e95-9726-eef15c06a7d1	1	1
927f2a8c-e940-43a2-8c30-011047ab2a71	-1	1
98d61b54-14eb-4e81-aae7-a90e40de7c3e	1	1
5f5cc842-b2f1-4ff8-b702-183ed4715cd3	1	1
dd6d0b58-94af-4766-9fa0-cb914df1f388	1	1
84cdca58-d186-44a6-b002-fc31e059ac48	1	1
84eff0d1-e2ba-4395-9f0f-4dee7caa949b	-1	1
50963bab-96f7-4c47-8fe9-8262d569cd27	1	1
62acc27e-7e04-4583-ac7c-e9a5ec0e6c8f	-1	0
3793fb3b-179c-44f7-8439-e1952125ab96	-1	1
24b4ea1f-d2b5-4cac-94bc-bd6160d22a47	-1	1
d7bbe131-c819-4b7d-ade7-38f501e62e3e	-1	1
d8bcf82c-e770-4482-bf07-6ed201e53434	-1	1
b0be3b7f-9065-4518-be83-d236eab65d1f	-1	1
8c9934ae-3a65-48d6-852c-0bd1f4299577	1	1
f7b66824-c422-41d9-ad0e-6da8b837bf0b	1	1
73835d14-21b3-448e-8db3-bec694ca990c	-1	1
c50cd4d1-2880-4c4e-9e28-a7305d6ae2bb	1	1
ca60f097-e8c1-4443-aa82-efb2b8aea4ed	1	1
