readname	strand	cluster
1cee32ce-0858-4a05-ba96-b0f4772b7058	-1	1
46515cd1-48fb-433b-8abf-54cc503ef3ec	-1	1
357a655f-fa8d-481b-90a4-2a218fd905de	1	2
5be629a3-e2aa-42b6-9ce1-bfa8303020c1	-1	1
7ddb1070-727f-43d8-847f-2f64d3550359	-1	0
8a27eb84-bb9a-497a-abe3-6da71c408995	1	1
9c654542-d297-490b-8ea4-8c0458f2da54	1	0
e4d2fc8d-7a1a-4d6c-9ec9-2ef280ceb035	1	2
c0326557-b462-4fd7-9abb-89500deb71fb	1	1
ad3a4045-d477-41ea-ac99-54ec788da4e3	-1	0
c4c63b6d-85d6-4017-a3bf-0bfde70fc44e	-1	2
d6eb8338-9854-4d20-ad0e-f27c05237e97	-1	1
36d32adc-9833-4a0c-a81c-d7e626996522	1	0
3c8d5ed9-a18b-48db-bce9-40764fe44d6b	1	1
843e18bd-27af-4741-a574-295b28bb0e28	-1	2
5910daba-061a-42f9-91a8-7a3e91450641	-1	1
6b63b02d-603b-4cc7-87f4-c9406aff66bf	-1	2
cf422633-1366-41e5-8be3-ddc8a69cb530	-1	2
de75cb21-b937-46e9-b4ec-1294d6a1b394	-1	2
e1b30120-dc47-4ace-8718-07e9e9c88efc	-1	0
e588aa7b-585f-4517-a03c-585e7f341b85	-1	0
e2fdc4cb-f59b-4688-9768-98302233c32f	-1	2
ffeb77d7-ba81-4710-9a85-225aae2cccfe	-1	2
38aa2b69-7642-4fa6-bb8a-f92bdda1c31f	-1	2
f51243b9-30b5-44de-9f2b-5a7456b581b0	-1	1
b201d926-cf52-4b68-a70b-52c602de6f39	1	1
7e23f68d-b28a-4e30-aed3-24f5c0d6f167	-1	1
a23eff8e-a2e6-4991-80ba-a1bd6bf12139	-1	2
f0b866f4-5904-4dcc-b547-d036bc7bbd59	1	1
