('zz-YIL161W', '+')
('SMC4', '+')
('GLE1', '+')
('FMP32', '+')
('TOR2', '-')
('ALR2', '-')
('ATG8', '-')
('VPS75', '+')
('SEC2', '-')
('TAF2', '-')
('SPT6', '+')
('FEX2', '-')
('zz-YOL029C', '-')
('FPR4', '+')
('SIR1', '+')
('BNA5', '-')
('NPR3', '-')
('MSH6', '-')
('RTF1', '+')
('VPS60', '-')
('YJU2', '+')
('MPA43', '-')
('HOM6', '-')
('ERV41', '-')
('PUF6', '-')
('CDC9', '-')
('YKT6', '-')
('YPF1', '-')
('SPR28', '-')
('REA1', '-')
('IMG2', '-')
('FOB1', '+')
('FET5', '+')
('RFA2', '+')
('IOC3', '+')
('RPS14B', '+')
('SCH9', '+')
('PMT5', '+')
